central_pressurec2,central_energy_densityc2,central_baryon_density,central_cs2c2,M,R,Lambda,I,Mb
4.339819047986212158e+11,9.961331343527421875e+13,9.877930816952692188e+13,8.098024570604874656e-03,6.159765152460746629e-01,2.208608670932729638e+03,3.495007258694649000e+15,4.562251489320544351e+03,6.238047385147330592e-01
4.366666997576647949e+11,9.994723065319367188e+13,9.910900384956204688e+13,8.146857488536220562e-03,6.159181580122247146e-01,2.220406435658207556e+03,4.011481071612620500e+15,4.626384476128976530e+03,6.237448698425084315e-01
4.393681039897965088e+11,1.002772506824139219e+14,9.943482546805526562e+13,8.194967029317266546e-03,6.157301919722132366e-01,2.232479512834331672e+03,inf,4.690377909350316258e+03,6.235529541783173535e-01
4.420862202469794312e+11,1.006049307214429219e+14,9.975831730777473438e+13,8.242620663654139437e-03,6.159362381464539293e-01,2.246419177015706282e+03,3.555073243649185625e+14,4.774471352216782179e+03,6.237622632292605385e-01
4.448211519168436279e+11,1.009346379272897812e+14,1.000838104043460938e+14,8.290569103456019162e-03,6.156058570606334213e-01,2.256895169375981823e+03,inf,4.827110784778488778e+03,6.234262886686200433e-01
4.475730030266185303e+11,1.012663848408627812e+14,1.004113171383876250e+14,8.338814172513749762e-03,6.155723585385481922e-01,2.269859315447577046e+03,4.287870416018703125e+14,4.899754934535724715e+03,6.233916367845470097e-01
4.503418782470898438e+11,1.016001840806535000e+14,1.007408499671093125e+14,8.387357705900919114e-03,6.154483871818944296e-01,2.282848721436953838e+03,inf,4.973453830155308424e+03,6.232651949144477621e-01
4.531278828965810547e+11,1.019327101179522500e+14,1.010691102134260625e+14,8.435258310932497797e-03,6.154106551857079221e-01,2.297985297332535538e+03,9.778612147639057500e+14,5.060907140380951205e+03,6.232267758255606305e-01
4.559311229449589844e+11,1.022607877036526719e+14,1.013929482633808125e+14,8.481617046715083513e-03,6.152182123450411488e-01,2.311543278689426643e+03,4.767896690300318750e+14,5.136293398286420597e+03,6.230317950527789472e-01
4.587517050176648560e+11,1.025908949155622188e+14,1.017187897119898750e+14,8.528262577174499162e-03,6.148443135864383180e-01,2.325319881441394500e+03,inf,5.210365424477799024e+03,6.226510762537109667e-01
4.615897363997695923e+11,1.029230443098039688e+14,1.020466469531216094e+14,8.575196676543479432e-03,6.146049928586977407e-01,2.338532840848573869e+03,3.467137783704789500e+15,5.286456305826980497e+03,6.224079397666384406e-01
4.644453250400549927e+11,1.032572485201784844e+14,1.023765324573180938e+14,8.622421130030914760e-03,6.143227504802056815e-01,2.352798500571350814e+03,3.648465010248900625e+14,5.369178102713694898e+03,6.221211392843235544e-01
4.673185795551194458e+11,1.035925698079371094e+14,1.027075157952462344e+14,8.669659569530909979e-03,6.142399648008741719e-01,2.364139222479184809e+03,4.262329162564305000e+14,5.437980177690161327e+03,6.220365375825510634e-01
4.702096092335093384e+11,1.039216117936809375e+14,1.030322586827876562e+14,8.714745392193957302e-03,6.138703605212590952e-01,2.382211693654697228e+03,inf,5.544494226451271970e+03,6.216606865246745439e-01
4.731185240398761597e+11,1.042526893718190000e+14,1.033590105666900156e+14,8.760110134756825262e-03,6.135685650476837560e-01,2.397338603415594207e+03,4.122766810588888750e+14,5.634656774107638739e+03,6.213540222729218021e-01
4.760454346191589355e+11,1.045858151353837031e+14,1.036877838754514688e+14,8.805755522735559879e-03,6.130390497126266824e-01,2.412081317177498931e+03,inf,5.717918710787511372e+03,6.208163357635778645e-01
4.789904523007931519e+11,1.049210017553132812e+14,1.040185911144581250e+14,8.851683292320979002e-03,6.124526255766803429e-01,2.426878583589976188e+03,3.325962675523870625e+14,5.798867775114675169e+03,6.202213836621274234e-01
4.819536891029448853e+11,1.052582619809337500e+14,1.043514448664596250e+14,8.897895190444708030e-03,6.120379618503835051e-01,2.443251114268630772e+03,inf,5.897829639364816103e+03,6.198007341957206817e-01
4.849352577367718506e+11,1.055899083973550000e+14,1.046787165866070938e+14,8.941748732282504830e-03,6.117030116628758840e-01,2.458166770455688493e+03,inf,5.990348086589499871e+03,6.194597054285357896e-01
4.879352716107105103e+11,1.059224016776762812e+14,1.050068173444345781e+14,8.985459831621878460e-03,6.113900439493606953e-01,2.474030626118132659e+03,3.314006124458660625e+14,6.087932697736201590e+03,6.191424277668051701e-01
4.909538448347896729e+11,1.062569519015545469e+14,1.053369478718237031e+14,9.029441346243232899e-03,6.105811140784693780e-01,2.490099215425344937e+03,inf,6.180905110684992906e+03,6.183208119356531363e-01
4.939910922249710083e+11,1.065935717941095000e+14,1.056691207257844375e+14,9.073694949049465955e-03,6.101516556386660239e-01,2.504336958419514303e+03,6.362437007044347000e+15,6.268030267577539234e+03,6.178852862957229242e-01
4.970471293075158691e+11,1.069322741591838281e+14,1.060033485410096406e+14,9.118222323292755893e-03,6.094575933825447933e-01,2.522924780800340613e+03,7.844714357030225000e+14,6.380441535492226649e+03,6.171807501502364346e-01
5.001220723233799438e+11,1.072678603579925469e+14,1.063344705084401719e+14,9.161139925172997675e-03,6.087106031131257478e-01,2.540420365275589575e+03,4.277802109057705625e+14,6.486565660977693369e+03,6.164217945021336353e-01
5.032160382326343994e+11,1.076024218849058906e+14,1.066645627955397344e+14,9.203201355458044339e-03,6.079489110448706990e-01,2.556575967976110405e+03,1.673887699934937000e+15,6.583671188508115847e+03,6.156483079546091197e-01
5.063291447189146729e+11,1.079390531504212500e+14,1.069966971726403438e+14,9.245522995477069642e-03,6.072894060793115889e-01,2.573792261957003120e+03,6.766129747470096250e+14,6.691794472142872110e+03,6.149793918046084773e-01
5.094615101938968506e+11,1.082777669588139219e+14,1.073308862729713750e+14,9.288106454997150166e-03,6.063663479079864915e-01,2.595009938662851710e+03,inf,6.823286933846477950e+03,6.140428533785451393e-01
5.126132538018014526e+11,1.086185761935717812e+14,1.076671428079166406e+14,9.330953353744061290e-03,6.055307482983378620e-01,2.613089467271795456e+03,3.620142762860139375e+14,6.937520424634900337e+03,6.131960417111717021e-01
5.157844954239253540e+11,1.089583815205644375e+14,1.080023892016488906e+14,9.373084701727651957e-03,6.044341251345189958e-01,2.633384952067585346e+03,inf,7.058795071681984155e+03,6.120823481799527732e-01
5.189753556832017822e+11,1.092954124775892031e+14,1.083348673855807812e+14,9.413940193499255663e-03,6.036333760196992415e-01,2.648940102683929126e+03,3.305598334601237000e+15,7.156138395911476437e+03,6.112701487039839954e-01
5.221859559487880859e+11,1.096345284501513750e+14,1.086694024196770312e+14,9.455048434560967691e-03,6.021577385215232114e-01,2.668271941578034784e+03,inf,7.267978673662219080e+03,6.097719980746463264e-01
5.254164183406825562e+11,1.099757423370357812e+14,1.090060070284795938e+14,9.496410988526415506e-03,6.013184271242857371e-01,2.686548477147123322e+03,inf,7.387203559454753304e+03,6.089207261032981711e-01
5.286668657343690796e+11,1.103190671168245469e+14,1.093446940152497812e+14,9.538029428682395089e-03,5.999974066811278872e-01,2.710873678253220078e+03,inf,7.537627904409431721e+03,6.075802461421697664e-01
5.319374217654912720e+11,1.106633507497955781e+14,1.096843190093105625e+14,9.579465299248317647e-03,5.986682943219157060e-01,2.729521004553972034e+03,inf,7.652314584646034746e+03,6.062317289717020774e-01
5.352282108345546875e+11,1.110032914119725312e+14,1.100196157986784219e+14,9.618712817667700657e-03,5.972730722338102094e-01,2.754802990057832631e+03,inf,7.815869195520848734e+03,6.048159004529245486e-01
5.385393581116590576e+11,1.113453350903492188e+14,1.103569868752917344e+14,9.658203137776374264e-03,5.958114990181455628e-01,2.775318982295907517e+03,1.341200128186387500e+15,7.938701380760460779e+03,6.033334447910634335e-01
5.418709895412590942e+11,1.116894947950701719e+14,1.106964450715655781e+14,9.697937761647918570e-03,5.939445913289094214e-01,2.798416303427291950e+03,4.371031687800114375e+14,8.073372435696013781e+03,6.014391776365223263e-01
5.452232318469547729e+11,1.120357836167660781e+14,1.110380032993017344e+14,9.737918200648365899e-03,5.925754458353813536e-01,2.819503788677456669e+03,4.162580823165426250e+14,8.207608262760746584e+03,6.000500364112011376e-01
5.485962125363118896e+11,1.123842147270518750e+14,1.113816745501799062e+14,9.778145975493698211e-03,5.909162434168291345e-01,2.837899893181441712e+03,9.774679628539628750e+14,8.313951451623252069e+03,5.983666109198872984e-01
5.554049030452308350e+11,1.130736958587498438e+14,1.120616346297978906e+14,9.855287649829859095e-03,5.868139357053774319e-01,2.891677517495448683e+03,inf,8.650568950711029174e+03,5.942049868359130516e-01
5.622980969929028320e+11,1.137711194771813906e+14,1.127494228961177188e+14,9.933206586557007806e-03,5.825664185541765683e-01,2.944431992910504960e+03,7.096193058203531250e+14,8.980252010107942624e+03,5.898957535045716849e-01
5.763422033485363770e+11,1.151727164726946875e+14,1.141315087172524531e+14,1.008831136930715515e-02,5.724692364478461970e-01,3.051184865843420994e+03,inf,9.607832155847176182e+03,5.796536480570306793e-01
5.907370790280981445e+11,1.165894781836977500e+14,1.155283929314451094e+14,1.024318124397669526e-02,5.597949830956997497e-01,3.175647852557137867e+03,1.646466782138606750e+15,1.033758789664893629e+04,5.667967825939191906e-01
6.054914849392239990e+11,1.180218977014623594e+14,1.169405566308876719e+14,1.039758406703256838e-02,5.443348434096522137e-01,3.308694962100758403e+03,inf,1.105626639011149928e+04,5.511154075813198272e-01
6.206144008043016357e+11,1.194634385238260312e+14,1.183614903277687500e+14,1.055163687183653144e-02,5.264640334962473744e-01,3.452054942390240285e+03,2.743466997050839500e+15,1.177818931963696014e+04,5.329894597103470577e-01
6.244537830374443359e+11,1.198294146537675938e+14,1.187222347529147656e+14,1.059074755703818572e-02,5.203043178593702578e-01,3.501069710116717488e+03,7.283409538363878750e+14,1.202311788162924131e+04,5.267420467612750068e-01
6.283169173071384277e+11,1.201908720385940312e+14,1.190784674182937188e+14,1.062929671244683058e-02,5.147792139389213428e-01,3.540826298579726426e+03,inf,1.219465245673333084e+04,5.211382735109246767e-01
6.322039505534918213e+11,1.205543265873463594e+14,1.194366663116412969e+14,1.066805604183634557e-02,5.089691376165652592e-01,3.583575209714400444e+03,6.286854316776112500e+14,1.239462936124830594e+04,5.152454875326021311e-01
6.361150306256461182e+11,1.209200296191104062e+14,1.197970811743013125e+14,1.070705515277207455e-02,5.025647941940910579e-01,3.626510486991255675e+03,inf,1.255468571312270615e+04,5.087497881279803291e-01
6.400503062874000244e+11,1.212879950439496719e+14,1.201597257151938594e+14,1.074629552864371160e-02,4.961308684500968513e-01,3.672281403407776452e+03,inf,1.274410170663424469e+04,5.022246236757742510e-01
6.440099272228675537e+11,1.216582368579811719e+14,1.205246137280481250e+14,1.078577866201783052e-02,4.883969052757413665e-01,3.721993904755992389e+03,inf,1.290088708083247366e+04,4.943808500253912275e-01
6.479940440421721191e+11,1.220256579561421562e+14,1.208866770905070625e+14,1.082485511203675095e-02,4.816751307808342375e-01,3.767377347662610191e+03,inf,1.306114368973526325e+04,4.875635240378227153e-01
6.520028082871743164e+11,1.223934432252177812e+14,1.212490823787544844e+14,1.086393020100335192e-02,4.737816596394380797e-01,3.815194233080878348e+03,inf,1.319159732207505840e+04,4.795577359046176436e-01
6.560363724372370605e+11,1.227635037689661875e+14,1.216137296588459531e+14,1.090324702493798356e-02,4.675893494222942426e-01,3.854380877814101950e+03,inf,1.329277242264214874e+04,4.732776178986166649e-01
6.600948899150246582e+11,1.231358536631953594e+14,1.219806328006878594e+14,1.094280707931503255e-02,4.571717872634318836e-01,3.917335522086575565e+03,inf,1.343336191265843445e+04,4.627126769580874321e-01
6.641785150923386230e+11,1.235105070707921875e+14,1.223498057599917188e+14,1.098261186886052149e-02,4.484443358583665162e-01,3.966163315470875204e+03,1.357360528850126750e+15,1.351504673058008848e+04,4.538613901525780370e-01
6.682874032959893799e+11,1.238840075002305625e+14,1.227178115687355469e+14,1.102233428540473972e-02,4.392642537659481872e-01,4.017613116078809071e+03,6.550474194006120000e+14,1.356669324052261072e+04,4.445512626605578888e-01
6.724217108137048340e+11,1.242562141057113750e+14,1.230845100536327031e+14,1.106196115893190099e-02,4.290784741700798266e-01,4.071851441393221194e+03,9.662143187168268750e+14,1.359813602698790601e+04,4.342215609002194054e-01
6.765815949000743408e+11,1.246307233381152500e+14,1.234534770898976875e+14,1.110183318099892610e-02,4.167268188182314814e-01,4.132428636266236936e+03,inf,1.355103476739468897e+04,4.216950194458715107e-01
6.807672137825305176e+11,1.250075494424627656e+14,1.238247267117453125e+14,1.114195186819799677e-02,4.058522535016819699e-01,4.184120622145756897e+03,6.481781937334201250e+14,1.347905350806596289e+04,4.106664357974738611e-01
